booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,deposit_type,customer_type,adr,is_repeated_guest,previous_cancellations,booking_changes,total_of_special_requests
SYN-00093,Resort Hotel,0,75,2025,November,2,1,3,0.0,0,,Online TA,No Deposit,Transient-Party,193.36,1,1,0,2
SYN-00094,City Hotel,0,92,2025,December,1,3,4,0.0,1,United Kingdom,Groups,Non Refund,Transient,244.97,0,0,0,0
SYN-00095,Resort Hotel,0,92,2025,June,2,3,1,1.0,0,United Kingdom,Direct,No Deposit,Transient,199.53,0,0,0,0
SYN-00096,City Hotel,0,113,2025,January,1,3,1,0.0,0,Canada,Offline TA/TO,No Deposit,Transient,198.36,0,0,0,1
SYN-00097,City Hotel,1,65,2025,August,0,2,2,0.0,0,France,Offline TA/TO,Non Refund,Transient,213.06,0,0,0,1
SYN-00098,City Hotel,0,121,2025,March,0,1,2,2.0,0,USA,Online TA,No Deposit,Transient,153.11,0,0,0,0
SYN-00099,City Hotel,0,55,2025,January,2,1,4,2.0,0,Germany,Online TA,No Deposit,Transient-Party,78.27,1,0,0,4
SYN-00100,City Hotel,0,113,2024,November,2,1,1,0.0,0,Canada,Direct,No Deposit,Transient,186.63,0,0,0,2
SYN-00101,Resort Hotel,1,11,2024,April,0,1,2,2.0,0,,Online TA,No Deposit,Transient,93.3,0,0,0,0
SYN-00102,City Hotel,0,183,2024,May,0,2,2,0.0,0,Canada,Direct,No Deposit,Transient,119.26,0,0,2,2
SYN-00103,City Hotel,1,118,2024,August,1,4,2,0.0,0,Canada,Online TA,Non Refund,Transient,216.27,0,0,2,1
SYN-00104,Resort Hotel,1,22,2024,June,1,5,2,0.0,0,USA,Direct,No Deposit,Transient-Party,184.0,0,0,1,0
SYN-00105,Resort Hotel,0,146,2024,December,1,2,3,0.0,0,Mexico,Online TA,No Deposit,Transient,126.83,0,0,0,2
SYN-00106,City Hotel,0,51,2025,April,1,3,3,0.0,0,Mexico,Offline TA/TO,No Deposit,Transient,149.52,0,0,0,1
SYN-00107,City Hotel,1,73,2025,August,0,5,2,0.0,0,Mexico,Groups,Non Refund,Transient,189.4,0,0,1,0
SYN-00108,City Hotel,0,80,2024,January,1,3,2,0.0,0,,Direct,No Deposit,Transient,135.83,0,0,2,0
SYN-00109,City Hotel,0,42,2024,March,0,7,2,0.0,0,Germany,Online TA,No Deposit,Transient,129.33,0,0,0,4
SYN-00110,City Hotel,0,206,2024,January,2,6,2,2.0,1,United Kingdom,Corporate,Non Refund,Transient,127.2,0,0,2,1
SYN-00111,City Hotel,1,148,2024,January,0,5,2,0.0,0,USA,Online TA,Non Refund,Transient,45.0,0,0,3,1
SYN-00112,Resort Hotel,0,101,2025,February,2,5,2,2.0,0,,Online TA,No Deposit,Transient,154.49,0,0,0,0
SYN-00113,City Hotel,1,20,2024,December,0,1,2,0.0,0,USA,Direct,No Deposit,Transient,132.12,0,0,0,0
SYN-00114,City Hotel,0,65,2025,October,0,3,2,0.0,1,United Kingdom,Online TA,No Deposit,Transient,121.88,0,0,0,0
SYN-00115,Resort Hotel,0,135,2024,May,0,2,2,0.0,0,France,Offline TA/TO,No Deposit,Transient-Party,128.36,0,0,1,1
SYN-00116,Resort Hotel,0,48,2024,June,1,5,2,0.0,0,Mexico,Online TA,No Deposit,Transient,175.8,0,0,0,1
SYN-00117,City Hotel,0,208,2025,August,0,1,2,0.0,0,USA,Online TA,No Deposit,Transient,195.76,0,0,0,2
SYN-00118,Resort Hotel,0,24,2024,September,1,3,2,0.0,0,Mexico,Online TA,Refundable,Transient,126.1,0,0,0,0
SYN-00119,City Hotel,0,70,2024,October,1,1,2,0.0,0,Germany,Direct,No Deposit,Group,110.14,0,0,0,0
SYN-00120,Resort Hotel,0,52,2025,December,2,4,2,0.0,0,Canada,Direct,Refundable,Transient,200.92,0,0,0,3
SYN-00121,City Hotel,0,62,2025,March,0,1,3,0.0,0,Mexico,Corporate,No Deposit,Transient-Party,141.1,0,0,0,0
SYN-00122,City Hotel,0,99,2025,November,1,5,2,0.0,0,Canada,Online TA,No Deposit,Transient,152.67,0,0,0,0
SYN-00123,Resort Hotel,0,99,2025,July,2,6,2,0.0,0,Canada,Direct,No Deposit,Transient,235.51,0,0,0,2
SYN-00124,City Hotel,0,64,2025,September,1,5,2,0.0,0,Germany,Corporate,No Deposit,Transient,121.96,0,0,0,1
SYN-00125,Resort Hotel,0,159,2025,February,2,3,2,1.0,0,Germany,Groups,No Deposit,Transient-Party,114.36,0,0,3,0
SYN-00126,Resort Hotel,1,179,2024,April,0,1,2,0.0,0,Mexico,Corporate,No Deposit,Transient,212.0,0,0,0,0
SYN-00127,City Hotel,0,28,2024,September,2,4,2,0.0,0,Germany,Direct,No Deposit,Transient,99.02,0,0,0,0
SYN-00128,City Hotel,0,82,2025,February,0,1,3,0.0,0,France,Offline TA/TO,No Deposit,Transient-Party,95.51,0,0,0,0
SYN-00129,City Hotel,1,45,2025,April,1,2,2,0.0,0,Germany,Online TA,No Deposit,Transient,133.7,0,0,0,2
SYN-00130,City Hotel,0,31,2025,March,1,5,2,0.0,0,USA,Direct,No Deposit,Transient,135.5,0,0,0,1
SYN-00131,Resort Hotel,1,83,2024,October,2,4,1,0.0,0,,Online TA,No Deposit,Transient,103.44,0,0,0,0
SYN-00132,City Hotel,0,85,2024,March,1,1,2,0.0,0,Germany,Online TA,No Deposit,Transient-Party,181.79,0,0,1,1
SYN-00133,City Hotel,0,46,2024,March,2,4,2,0.0,0,Canada,Offline TA/TO,No Deposit,Transient,211.45,0,0,1,0
SYN-00134,Resort Hotel,0,85,2024,August,2,3,4,2.0,0,United Kingdom,Online TA,No Deposit,Transient-Party,221.04,1,0,0,0
SYN-00135,City Hotel,0,107,2025,July,1,3,2,0.0,0,Mexico,Corporate,No Deposit,Transient,120.84,0,0,0,0
SYN-00136,Resort Hotel,0,68,2024,July,2,1,2,0.0,0,Canada,Online TA,No Deposit,Transient,139.89,1,0,1,1
SYN-00137,City Hotel,1,17,2024,May,1,3,2,0.0,0,,Online TA,No Deposit,Transient,123.61,0,0,1,0
SYN-00138,Resort Hotel,0,175,2025,June,2,2,2,0.0,0,USA,Offline TA/TO,No Deposit,Transient,193.12,0,0,0,1
SYN-00139,Resort Hotel,1,158,2025,August,0,5,1,0.0,0,Canada,Offline TA/TO,No Deposit,Transient,128.88,1,3,1,1
SYN-00140,Resort Hotel,1,108,2025,April,1,4,1,0.0,0,United Kingdom,Online TA,No Deposit,Group,135.46,0,0,2,0
SYN-00141,City Hotel,0,128,2025,September,0,5,4,0.0,0,Mexico,Direct,No Deposit,Transient,153.53,1,0,0,0
SYN-00142,City Hotel,0,24,2024,April,2,2,2,0.0,0,Canada,Online TA,Non Refund,Transient,78.96,0,0,0,1
SYN-00143,Resort Hotel,0,15,2024,February,2,3,2,0.0,0,Germany,Online TA,No Deposit,Transient,159.37,0,0,0,2
SYN-00144,City Hotel,1,96,2024,November,2,2,2,0.0,0,France,Direct,Non Refund,Transient-Party,159.87,0,0,0,0
SYN-00145,City Hotel,0,61,2024,August,1,1,2,2.0,0,Mexico,Online TA,No Deposit,Transient,139.36,0,0,0,0
SYN-00146,City Hotel,0,57,2024,November,1,1,2,2.0,0,,Online TA,No Deposit,Contract,161.57,0,0,3,1
SYN-00147,Resort Hotel,0,42,2024,March,2,6,2,1.0,0,United Kingdom,Online TA,Refundable,Transient,129.22,1,3,0,0
SYN-00148,Resort Hotel,0,91,2025,December,0,3,4,1.0,0,Canada,Direct,No Deposit,Transient,250.36,0,0,2,0
SYN-00149,Resort Hotel,0,9,2024,June,2,7,3,1.0,0,Germany,Online TA,Non Refund,Transient,257.61,0,0,0,0
SYN-00150,Resort Hotel,0,39,2025,September,0,4,1,0.0,0,,Groups,Non Refund,Transient,133.67,1,2,0,1
SYN-00151,Resort Hotel,1,145,2024,October,0,4,4,0.0,0,Germany,Online TA,Non Refund,Transient,156.5,0,0,0,0
SYN-00152,Resort Hotel,0,78,2025,March,2,3,2,0.0,0,USA,Online TA,No Deposit,Transient,156.21,0,0,0,3
SYN-00153,City Hotel,0,88,2024,March,1,1,1,0.0,0,Mexico,Groups,No Deposit,Transient-Party,115.19,0,0,0,0
SYN-00154,City Hotel,0,22,2024,May,0,1,2,0.0,0,Germany,Offline TA/TO,No Deposit,Transient,77.51,0,0,0,3
SYN-00155,Resort Hotel,0,77,2025,July,2,2,1,0.0,0,United Kingdom,Online TA,No Deposit,Transient,185.78,0,0,0,1
SYN-00156,Resort Hotel,0,90,2024,October,2,2,2,0.0,0,,Offline TA/TO,No Deposit,Transient,141.03,0,0,0,2
SYN-00157,City Hotel,0,38,2024,March,0,5,1,0.0,0,France,Direct,No Deposit,Transient,64.07,0,0,0,1
SYN-00158,City Hotel,0,25,2025,December,0,1,2,0.0,0,France,Offline TA/TO,No Deposit,Transient-Party,144.69,0,0,0,1
SYN-00159,Resort Hotel,0,29,2025,May,0,2,2,0.0,0,USA,Offline TA/TO,Non Refund,Contract,96.43,0,0,0,0
SYN-00160,Resort Hotel,0,158,2025,May,1,6,2,0.0,0,Mexico,Online TA,No Deposit,Transient,158.09,0,0,1,0
SYN-00161,Resort Hotel,0,33,2024,September,0,2,2,0.0,0,,Direct,No Deposit,Transient,113.8,0,0,0,0
SYN-00162,City Hotel,1,214,2024,June,0,3,2,0.0,0,,Online TA,Non Refund,Group,171.66,0,0,0,0
SYN-00163,Resort Hotel,0,67,2025,May,2,5,2,0.0,0,USA,Online TA,No Deposit,Transient,130.22,0,0,0,1
SYN-00164,Resort Hotel,0,132,2025,May,2,5,2,0.0,0,United Kingdom,Offline TA/TO,No Deposit,Transient,134.75,0,0,0,4
SYN-00165,Resort Hotel,1,96,2024,December,2,3,2,0.0,0,Mexico,Online TA,Non Refund,Transient,182.1,0,0,0,1
SYN-00166,City Hotel,0,114,2025,March,2,2,2,1.0,0,Germany,Online TA,No Deposit,Transient,176.26,0,0,0,1
SYN-00167,City Hotel,1,85,2025,November,1,7,3,0.0,1,USA,Offline TA/TO,Refundable,Transient,167.84,0,0,0,0
SYN-00168,Resort Hotel,1,77,2024,March,1,7,1,0.0,0,Canada,Online TA,No Deposit,Transient,152.24,0,0,0,2
SYN-00169,Resort Hotel,1,40,2024,December,0,1,2,0.0,0,Germany,Direct,Non Refund,Transient,278.25,0,0,0,1
SYN-00170,Resort Hotel,1,40,2024,July,0,2,1,0.0,0,Mexico,Online TA,No Deposit,Transient-Party,288.13,0,0,0,4
SYN-00171,City Hotel,0,66,2024,January,2,3,2,0.0,0,USA,Online TA,No Deposit,Transient,182.85,0,0,0,2
SYN-00172,City Hotel,0,102,2024,August,1,1,2,2.0,0,USA,Online TA,Non Refund,Transient,205.82,0,0,0,0
SYN-00173,City Hotel,0,136,2024,March,0,1,2,0.0,1,USA,Offline TA/TO,Non Refund,Transient-Party,182.46,0,0,0,0
SYN-00174,City Hotel,1,57,2025,March,2,1,2,1.0,0,,Online TA,Refundable,Transient,70.74,0,0,1,1
SYN-00175,Resort Hotel,1,23,2024,December,1,4,2,0.0,0,USA,Online TA,Non Refund,Transient-Party,224.92,0,0,0,1
SYN-00176,Resort Hotel,0,54,2024,December,0,2,2,0.0,0,Canada,Online TA,No Deposit,Transient-Party,167.16,0,1,0,1
SYN-00177,City Hotel,1,19,2024,August,0,3,2,2.0,0,Mexico,Online TA,No Deposit,Transient,201.49,0,0,1,0
SYN-00178,Resort Hotel,0,190,2024,January,1,3,3,0.0,0,France,Online TA,No Deposit,Transient-Party,185.25,0,0,0,1
SYN-00179,City Hotel,1,25,2025,December,3,2,2,0.0,0,Canada,Online TA,No Deposit,Transient,209.6,0,0,0,1
SYN-00180,City Hotel,0,54,2025,April,0,5,1,0.0,0,Germany,Online TA,No Deposit,Transient,167.5,1,0,1,1
SYN-00181,City Hotel,0,125,2024,September,1,2,2,0.0,0,Canada,Offline TA/TO,No Deposit,Transient,116.18,0,0,0,0
SYN-00182,City Hotel,0,204,2025,December,0,1,2,0.0,0,France,Online TA,No Deposit,Contract,234.81,0,0,2,0
SYN-00183,Resort Hotel,0,91,2025,February,2,3,3,0.0,0,United Kingdom,Offline TA/TO,No Deposit,Transient,147.9,0,0,0,0
SYN-00184,Resort Hotel,0,37,2025,January,2,3,2,0.0,0,USA,Corporate,No Deposit,Transient,221.3,0,0,0,1
SYN-00185,Resort Hotel,1,144,2025,November,0,3,3,1.0,0,USA,Online TA,No Deposit,Transient,51.74,0,0,1,0
SYN-00186,Resort Hotel,0,60,2024,September,0,2,2,0.0,0,Mexico,Online TA,No Deposit,Transient,189.4,0,0,2,1
SYN-00187,City Hotel,0,19,2025,September,2,1,2,2.0,0,Germany,Online TA,No Deposit,Transient,185.19,0,0,0,0
SYN-00188,City Hotel,0,25,2024,November,0,1,2,0.0,0,France,Offline TA/TO,No Deposit,Transient-Party,118.8,0,0,1,0
SYN-00189,Resort Hotel,0,77,2025,September,0,7,2,0.0,0,,Offline TA/TO,No Deposit,Transient,168.22,0,0,0,1
SYN-00190,City Hotel,1,72,2024,July,1,3,1,0.0,0,France,Corporate,No Deposit,Transient,146.61,0,0,0,1
SYN-00191,City Hotel,0,165,2024,February,1,4,1,1.0,0,,Online TA,No Deposit,Transient,170.29,0,0,0,3
SYN-00192,City Hotel,0,99,2024,January,2,2,3,0.0,0,Canada,Online TA,No Deposit,Transient,179.95,0,0,1,0
SYN-00193,City Hotel,0,111,2025,January,1,7,2,0.0,0,Mexico,Online TA,No Deposit,Transient,108.64,0,0,0,1
SYN-00194,City Hotel,0,51,2025,June,1,4,2,0.0,0,USA,Online TA,No Deposit,Transient,217.9,0,0,0,1
SYN-00195,City Hotel,0,44,2024,March,1,1,1,0.0,0,United Kingdom,Online TA,No Deposit,Transient,70.35,0,0,0,4
SYN-00196,City Hotel,0,28,2025,October,0,7,1,0.0,0,,Groups,No Deposit,Transient-Party,146.45,0,0,0,1
SYN-00197,City Hotel,0,13,2025,August,2,3,2,0.0,0,United Kingdom,Offline TA/TO,No Deposit,Contract,221.54,0,0,0,0
SYN-00198,Resort Hotel,0,60,2024,September,0,7,2,2.0,0,Canada,Corporate,No Deposit,Transient-Party,144.39,0,0,1,0
SYN-00199,Resort Hotel,1,38,2025,September,0,5,2,0.0,0,Canada,Offline TA/TO,No Deposit,Transient,202.8,0,0,1,0
SYN-00200,City Hotel,0,16,2024,October,1,1,2,2.0,0,Canada,Online TA,No Deposit,Transient,148.28,0,0,3,2
SYN-00201,Resort Hotel,0,105,2024,March,1,1,1,0.0,0,France,Online TA,No Deposit,Transient,136.28,0,0,0,2
SYN-00202,City Hotel,0,22,2024,September,2,4,3,0.0,0,,Online TA,No Deposit,Transient-Party,120.38,0,0,2,1
SYN-00203,City Hotel,0,67,2024,December,1,3,2,2.0,0,Germany,Corporate,No Deposit,Transient-Party,187.72,0,0,0,0
SYN-00204,Resort Hotel,0,44,2025,November,1,1,2,0.0,1,,Online TA,No Deposit,Transient,220.96,0,0,3,1
SYN-00205,City Hotel,1,146,2024,November,1,2,2,0.0,0,Germany,Online TA,No Deposit,Transient,187.99,0,0,0,0
SYN-00206,Resort Hotel,0,102,2024,June,0,7,3,0.0,0,France,Direct,No Deposit,Transient,262.35,0,0,1,3
SYN-00207,Resort Hotel,0,103,2024,October,0,2,2,0.0,1,France,Online TA,No Deposit,Transient,96.79,0,0,0,2
